"code_video","maxview","channelsubscribercount","channelvideocount","commentcount","likecount","dislikecount","mintimewithmaxview","year","month","day","hour","minutes","seconds"
"9w8L2OKCpuY",2010,748329.824242424242,112933.533333333333,0E-20,82.0000000000000000,5.0000000000000000,"2017-12-21 17:22:27.000000",2017,12,21,17,22,27
"ptDqVYpC2eQ",259,141123.326153846154,27953.507692307692,6.0000000000000000,27.7876923076923077,1.00000000000000000000,"2017-12-21 17:22:27.000000",2017,12,21,17,22,27
"YfOlo5NZK3c",830,142679.625272331155,28074.141612200436,15.9128540305010893,26.8257080610021786,5.0000000000000000,"2017-12-25 15:46:00.000000",2017,12,25,15,46,0
"M0fGM9-AlLM",1666,782847.541474654378,43879.523041474654,14.4147465437788018,37.8271889400921659,4.0000000000000000,"2017-12-25 15:46:00.000000",2017,12,25,15,46,0
"cGBMiV9GgYI",2633,142648.280434782609,28071.573913043478,65.9673913043478261,70.2195652173913043,20.4086956521739130,"2017-12-25 15:46:00.000000",2017,12,25,15,46,0
"3nxN9OYelkw",947,498524.506172839506,58399.030864197531,5.9465020576131687,17.5884773662551440,0E-20,"2017-12-25 15:46:00.000000",2017,12,25,15,46,0
"xzyjK50Wwz0",302,498560.900207900208,58399.577962577963,1.3950103950103950,11.1704781704781705,1.00000000000000000000,"2017-12-25 15:46:00.000000",2017,12,25,15,46,0
"xpOpm4YSouM",389,750356.224944320713,113038.906458797327,0E-20,11.9510022271714922,20.3051224944320713,"2017-12-25 15:46:00.000000",2017,12,25,15,46,0
"ADEzKocBjIU",5505,142696.274463007160,28076.004773269690,182.5847255369928401,47.1957040572792363,60.1026252983293556,"2017-12-25 15:46:00.000000",2017,12,25,15,46,0
"-S8Dhl-LzQs",7942,498409.856557377049,58397.227459016393,18.4262295081967213,42.1741803278688525,3.4282786885245902,"2017-12-25 15:46:00.000000",2017,12,25,15,46,0
"Gp5QJQ8nwSo",574203,3035291.626774847870,40659.961460446247,102.2961460446247465,134.7586206896551724,20.8073022312373225,"2017-12-25 15:46:00.000000",2017,12,25,15,46,0
"QLA-YBCbT9Q",669,749774.539553752535,113011.286004056795,0E-20,14.0872210953346856,0E-20,"2017-12-25 15:46:00.000000",2017,12,25,15,46,0
"7tdrIQ8EV6M",1373,498841.157563025210,58403.882352941176,7.8487394957983193,8.8760504201680672,2.7794117647058824,"2017-12-25 15:46:00.000000",2017,12,25,15,46,0
"xq5GA0cVLeE",514,750347.477855477855,113039.503496503497,0E-20,12.6293706293706294,9.9254079254079254,"2017-12-25 15:46:00.000000",2017,12,25,15,46,0
"KjMMINsF-XQ",370,142346.746268656716,28052.417910447761,12.3944562899786780,27.7398720682302772,1.00000000000000000000,"2017-12-25 15:46:00.000000",2017,12,25,15,46,0
"wc8v4u_gqzU",2280,142639.218818380744,28071.636761487965,53.0000000000000000,28.9409190371991247,15.9737417943107221,"2017-12-25 15:46:00.000000",2017,12,25,15,46,0
"3wPAj0hXivs",7691,782716.636144578313,43875.985542168675,57.1084337349397590,42.8843373493975904,19.0000000000000000,"2017-12-25 15:46:00.000000",2017,12,25,15,46,0
"_o9Y7lTOaoE",6166,782341.187192118227,43875.108374384236,225.1871921182266010,201.7733990147783251,28.7586206896551724,"2017-12-24 05:42:00.000000",2017,12,24,5,42,0
"oQ853jFawxE",776,142626.727074235808,28070.954148471616,5.7467248908296943,33.0043668122270742,3.0000000000000000,"2017-12-25 22:01:40.000000",2017,12,25,22,1,40
"vbW8M6r80ts",9825,1348071.397286821705,5813.5639534883720930,159.6976744186046512,215.0658914728682171,229.7073643410852713,"2017-12-29 17:02:18.000000",2017,12,29,17,2,18
"aCi4n6ODoGk",212396,3527089.026369168357,31373.192697768763,366.0223123732251521,2246.6044624746450304,92.3914807302231237,"2017-12-26 23:44:30.000000",2017,12,26,23,44,30
"yty5xTnrmzQ",73853,2577652.240556660040,139090.121272365805,603.0178926441351889,175.9821073558648111,162.7137176938369781,"2017-12-26 23:44:30.000000",2017,12,26,23,44,30
"oEAgnhTnaMw",823,784410.877068557920,43925.458628841608,20.4917257683215130,45.0000000000000000,15.0000000000000000,"2017-12-26 23:44:30.000000",2017,12,26,23,44,30
"R13-L57ky1k",2105,784395.322727272727,43924.904545454545,25.5090909090909091,110.4409090909090909,4.9136363636363636,"2017-12-26 23:44:30.000000",2017,12,26,23,44,30
"gFcSxrEP1kY",179277,2560015.793503480278,139051.464037122970,197.0185614849187935,366.4338747099767981,46.8097447795823666,"2017-12-26 23:44:30.000000",2017,12,26,23,44,30
"lmMJBulzVks",463,751203.350202429150,113069.317813765182,0E-20,4.9676113360323887,0E-20,"2017-12-28 20:37:49.000000",2017,12,28,20,37,49
"YIQT5wUlccQ",300,751289.725252525253,113072.303030303030,0E-20,11.6666666666666667,0.93333333333333333333,"2017-12-28 20:37:49.000000",2017,12,28,20,37,49
"c57TFuMhxyA",1785,751366.991091314031,113075.465478841871,0E-20,40.4075723830734967,14.0000000000000000,"2017-12-28 20:37:49.000000",2017,12,28,20,37,49
"5RYlEEX8rVM",4769,3026997.750000000000,40636.000000000000,28.0000000000000000,35.0000000000000000,8.0000000000000000,"2017-12-19 17:23:59.000000",2017,12,19,17,23,59
"bdg7aPgX7Uk",1201,143430.185185185185,28127.761574074074,18.4699074074074074,5.0416666666666667,16.6087962962962963,"2017-12-27 20:45:51.000000",2017,12,27,20,45,51
"BSqXcFSqIbM",1005,778210.917293233083,43738.345864661654,17.0300751879699248,56.5263157894736842,4.0000000000000000,"2017-12-21 04:04:14.000000",2017,12,21,4,4,14
"UCTqp1L30t8",1615,140829.691176470588,27931.805147058824,9.0000000000000000,12.0000000000000000,9.0000000000000000,"2017-12-21 04:04:14.000000",2017,12,21,4,4,14
"C1kaLroxYrQ",950,144006.360869565217,28175.191304347826,6.0000000000000000,14.7608695652173913,2.0000000000000000,"2017-12-29 20:17:39.000000",2017,12,29,20,17,39
"lG-B8a6Qx4w",703,143969.240780911063,28172.470715835141,6.4425162689804772,24.3514099783080260,1.6334056399132321,"2017-12-29 20:17:39.000000",2017,12,29,20,17,39
"j3i7WvAv-pM",1811,794146.302702702703,44289.227027027027,23.3027027027027027,30.7837837837837838,1.00000000000000000000,"2018-01-03 07:40:34.000000",2018,1,3,7,40,34
"mOkHepDdTlM",19894,754185.740554156171,113156.183879093199,0E-20,116.2392947103274559,115.4332493702770781,"2018-01-03 07:40:34.000000",2018,1,3,7,40,34
"RDueGYbK8oY",3520,1347871.825242718447,5821.7902912621359223,158.6524271844660194,106.0310679611650485,189.1165048543689320,"2018-01-01 18:47:50.000000",2018,1,1,18,47,50
"PQjfYuO16j0",4857,1347875.798058252427,5821.6485436893203883,59.9126213592233010,150.3514563106796117,79.2660194174757282,"2018-01-01 18:47:50.000000",2018,1,1,18,47,50
"i6n4Wmz2Xz8",1373,790502.909512761021,44160.798143851508,51.1716937354988399,28.9118329466357309,6.0000000000000000,"2018-01-01 18:47:50.000000",2018,1,1,18,47,50
"NMur8aLSmWw",21552,504507.442270058708,58490.391389432485,26.7084148727984344,77.8767123287671233,11.2191780821917808,"2018-01-01 18:47:50.000000",2018,1,1,18,47,50
"C76v2pzcKXI",8749,3543534.750000000000,31449.250000000000,0E-20,756.2500000000000000,76.7500000000000000,"2018-01-03 02:40:04.000000",2018,1,3,2,40,4
"277htQvCTDs",356931,3537792.726269315673,31431.068432671082,4209.8410596026490066,6816.6291390728476821,1121.1015452538631347,"2018-01-03 02:40:04.000000",2018,1,3,2,40,4
"oeXFYJouB1s",234,140818.970370370370,27931.200000000000,1.00000000000000000000,8.0000000000000000,0E-20,"2017-12-21 03:19:00.000000",2017,12,21,3,19,0
"aSbVozSzRBU",202,748061.446886446886,112918.326007326007,0E-20,7.0000000000000000,0E-20,"2017-12-21 03:19:00.000000",2017,12,21,3,19,0
"yBU-cLWx8p0",23824,782275.435684647303,43862.240663900415,137.4834024896265560,197.9024896265560166,15.6369294605809129,"2017-12-25 19:46:26.000000",2017,12,25,19,46,26
"xsWfWoDxCIo",222048,3042082.726519337017,40679.342541436464,1707.9723756906077348,925.1270718232044199,1246.0939226519337017,"2017-12-27 03:29:53.000000",2017,12,27,3,29,53
"QFV3zEFIs_k",1612,3029713.603626943005,40641.308290155440,2.4093264248704663,12.3005181347150259,1.00000000000000000000,"2017-12-23 08:23:23.000000",2017,12,23,8,23,23
"qGBLujZzxX4",1161,496891.135922330097,58373.759708737864,23.1237864077669903,13.5412621359223301,14.6650485436893204,"2017-12-23 08:23:23.000000",2017,12,23,8,23,23
"bmKTTDbg0GI",65506,3037467.234215885947,40666.234215885947,68.1995926680244399,37.3177189409368635,22.1038696537678208,"2017-12-25 18:01:15.000000",2017,12,25,18,1,15
"8HlEXZIH_5k",1678,142317.410041841004,28049.949790794979,23.5062761506276151,18.5188284518828452,1.9895397489539749,"2017-12-25 18:01:15.000000",2017,12,25,18,1,15
"cH55VGVjkqo",157871,3048985.509727626459,40696.943579766537,288.6517509727626459,604.1070038910505837,71.9844357976653696,"2017-12-25 18:01:15.000000",2017,12,25,18,1,15
"zH2D_iFU_8E",73726,2574147.904397705545,139082.606118546845,310.6252390057361377,132.9464627151051625,71.4971319311663480,"2017-12-25 18:01:15.000000",2017,12,25,18,1,15
"CDoJRFADpqs",51296,3038445.766260162602,40668.815040650407,36.0203252032520325,220.2317073170731707,68.2235772357723577,"2017-12-25 18:01:15.000000",2017,12,25,18,1,15
"AqN3R3rpVc8",1627,498515.659137577002,58398.856262833676,2.4537987679671458,10.4866529774127310,2.7268993839835729,"2017-12-25 18:01:15.000000",2017,12,25,18,1,15
"sk3lWvx5ELU",775,495802.289377289377,58353.443223443223,12.5750915750915751,19.8754578754578755,8.0000000000000000,"2017-12-21 07:19:32.000000",2017,12,21,7,19,32
"jlkBGw7gQDM",3709,778188.866412213740,43737.877862595420,14.0000000000000000,34.0000000000000000,10.0000000000000000,"2017-12-21 07:19:32.000000",2017,12,21,7,19,32
"p5KrEsr4jhw",395,748060.194852941176,112918.238970588235,0E-20,16.0000000000000000,4.0000000000000000,"2017-12-21 07:19:32.000000",2017,12,21,7,19,32
"d9gurDfaCyA",1034,513859.833333333333,58698.500000000000,10.5000000000000000,33.5000000000000000,0.16666666666666666667,"2018-01-08 19:45:46.000000",2018,1,8,19,45,46
"uZZbShATleE",30436,1347375.000000000000,5850.0000000000000000,359.0000000000000000,464.0000000000000000,193.0000000000000000,"2018-01-08 19:45:46.000000",2018,1,8,19,45,46
"bom-CFu65dA",430,149346.833333333333,28559.000000000000,25.0000000000000000,36.6666666666666667,2.0000000000000000,"2018-01-08 19:45:46.000000",2018,1,8,19,45,46
"iYs6PqUPcvA",106634,2628767.000000000000,139174.166666666667,1112.5000000000000000,1325.1666666666666667,168.0000000000000000,"2018-01-08 19:45:46.000000",2018,1,8,19,45,46
"6FjiuQUfgr8",70121,3099098.166666666667,40820.000000000000,503.0000000000000000,388.3333333333333333,143.6666666666666667,"2018-01-08 19:45:46.000000",2018,1,8,19,45,46
"TRFijYzmytI",59192,2628767.000000000000,139174.166666666667,814.3333333333333333,306.1666666666666667,113.0000000000000000,"2018-01-08 19:45:46.000000",2018,1,8,19,45,46
"mG_kR5L2jl8",626,758735.166666666667,113316.500000000000,0E-20,23.8333333333333333,8.0000000000000000,"2018-01-08 19:45:46.000000",2018,1,8,19,45,46
